site_no,datetime,discharge
3451500,1/1/20 1:00,3330
3451500,1/1/20 1:15,3330
3451500,1/1/20 1:30,3310
3451500,1/1/20 1:45,3290
3451500,1/1/20 2:00,3290
3451500,1/1/20 2:15,3290
3451500,1/1/20 2:30,3270
3451500,1/1/20 2:45,3260
3451500,1/1/20 3:00,3260
3451500,1/1/20 3:15,3240
3451500,1/1/20 3:30,3220
3451500,1/1/20 3:45,3220
3451500,1/1/20 4:00,3200
3451500,1/1/20 4:15,3180
3451500,1/1/20 4:30,3180
3451500,1/1/20 4:45,3160
3451500,1/1/20 5:00,3160
3451500,1/1/20 5:15,3160
3451500,1/1/20 5:30,3140
3451500,1/1/20 5:45,3140
3451500,1/1/20 6:00,3120
3451500,1/1/20 6:15,3120
3451500,1/1/20 6:30,3120
3451500,1/1/20 6:45,3100
3451500,1/1/20 7:00,3100
3451500,1/1/20 7:15,3080
3451500,1/1/20 7:30,3080
3451500,1/1/20 7:45,3060
3451500,1/1/20 8:00,3060
3451500,1/1/20 8:15,3060
3451500,1/1/20 8:30,3050
3451500,1/1/20 8:45,3050
3451500,1/1/20 9:00,3030
3451500,1/1/20 9:15,3030
3451500,1/1/20 9:30,3030
3451500,1/1/20 9:45,3010
3451500,1/1/20 10:00,2990
3451500,1/1/20 10:15,2990
3451500,1/1/20 10:30,2970
3451500,1/1/20 10:45,2970
3451500,1/1/20 11:00,2950
3451500,1/1/20 11:15,2950
3451500,1/1/20 11:30,2950
3451500,1/1/20 11:45,2930
3451500,1/1/20 12:00,2930
3451500,1/1/20 12:15,2930
3451500,1/1/20 12:30,2920
3451500,1/1/20 12:45,2920
3451500,1/1/20 13:00,2920
3451500,1/1/20 13:15,2920
3451500,1/1/20 13:30,2900
3451500,1/1/20 13:45,2900
3451500,1/1/20 14:00,2900
3451500,1/1/20 14:15,2880
3451500,1/1/20 14:30,2880
3451500,1/1/20 14:45,2880
3451500,1/1/20 15:00,2880
3451500,1/1/20 15:15,2860
3451500,1/1/20 15:30,2860
3451500,1/1/20 15:45,2860
3451500,1/1/20 16:00,2840
3451500,1/1/20 16:15,2840
3451500,1/1/20 16:30,2830
3451500,1/1/20 16:45,2830
3451500,1/1/20 17:00,2830
3451500,1/1/20 17:15,2810
3451500,1/1/20 17:30,2810
3451500,1/1/20 17:45,2810
3451500,1/1/20 18:00,2810
3451500,1/1/20 18:15,2810
3451500,1/1/20 18:30,2810
3451500,1/1/20 18:45,2790
3451500,1/1/20 19:00,2790
3451500,1/1/20 19:15,2790
3451500,1/1/20 19:30,2770
3451500,1/1/20 19:45,2770
3451500,1/1/20 20:00,2770
3451500,1/1/20 20:15,2770
3451500,1/1/20 20:30,2770
3451500,1/1/20 20:45,2750
