locationid,datetime,discharge
3453500,1/1/20 1:00,4160
3453500,1/1/20 1:15,4140
3453500,1/1/20 1:30,4120
3453500,1/1/20 1:45,4120
3453500,1/1/20 2:00,4090
3453500,1/1/20 2:15,4090
3453500,1/1/20 2:30,4070
3453500,1/1/20 2:45,4070
3453500,1/1/20 3:00,4050
3453500,1/1/20 3:15,4030
3453500,1/1/20 3:30,4010
3453500,1/1/20 3:45,4010
3453500,1/1/20 4:00,4010
3453500,1/1/20 4:15,3990
3453500,1/1/20 4:30,3990
3453500,1/1/20 4:45,3960
3453500,1/1/20 5:00,3960
3453500,1/1/20 5:15,3940
3453500,1/1/20 5:30,3940
3453500,1/1/20 5:45,3940
3453500,1/1/20 6:00,3920
3453500,1/1/20 6:15,3900
3453500,1/1/20 6:30,3900
3453500,1/1/20 6:45,3900
3453500,1/1/20 7:00,3880
3453500,1/1/20 7:15,3880
3453500,1/1/20 7:30,3860
3453500,1/1/20 7:45,3860
3453500,1/1/20 8:00,3840
3453500,1/1/20 8:15,3810
3453500,1/1/20 8:30,3810
3453500,1/1/20 8:45,3790
3453500,1/1/20 9:00,3790
3453500,1/1/20 9:15,3770
3453500,1/1/20 9:30,3770
3453500,1/1/20 9:45,3770
3453500,1/1/20 10:00,3750
3453500,1/1/20 10:15,3750
3453500,1/1/20 10:30,3750
3453500,1/1/20 10:45,3750
3453500,1/1/20 11:00,3730
3453500,1/1/20 11:15,3730
3453500,1/1/20 11:30,3730
3453500,1/1/20 11:45,3710
3453500,1/1/20 12:00,3710
3453500,1/1/20 12:15,3710
3453500,1/1/20 12:30,3690
3453500,1/1/20 12:45,3670
3453500,1/1/20 13:00,3650
3453500,1/1/20 13:15,3650
3453500,1/1/20 13:30,3630
3453500,1/1/20 13:45,3650
3453500,1/1/20 14:00,3650
3453500,1/1/20 14:15,3650
3453500,1/1/20 14:30,3650
3453500,1/1/20 14:45,3630
3453500,1/1/20 15:00,3630
3453500,1/1/20 15:15,3630
3453500,1/1/20 15:30,3610
3453500,1/1/20 15:45,3610
3453500,1/1/20 16:00,3590
3453500,1/1/20 16:15,3590
3453500,1/1/20 16:30,3590
3453500,1/1/20 16:45,3570
3453500,1/1/20 17:00,3570
3453500,1/1/20 17:15,3570
3453500,1/1/20 17:30,3570
3453500,1/1/20 17:45,3550
3453500,1/1/20 18:00,3550
3453500,1/1/20 18:15,3550
3453500,1/1/20 18:30,3550
3453500,1/1/20 18:45,3530
3453500,1/1/20 19:00,3530
3453500,1/1/20 19:15,3510
3453500,1/1/20 19:30,3510
3453500,1/1/20 19:45,3510
3453500,1/1/20 20:00,3510
3453500,1/1/20 20:15,3510
3453500,1/1/20 20:30,3510
3453500,1/1/20 20:45,3510
3453500,1/1/20 21:00,3490
3453500,1/1/20 21:15,3510
3453500,1/1/20 21:30,3470
3453500,1/1/20 21:45,3470
3453500,1/1/20 22:00,3470
3453500,1/1/20 22:15,3470
3453500,1/1/20 22:30,3450
3453500,1/1/20 22:45,3450
3453500,1/1/20 23:00,3470
3453500,1/1/20 23:15,3450
3453500,1/1/20 23:30,3430
3453500,1/1/20 23:45,3430
3453500,1/2/20 0:00,3430
3453500,1/2/20 0:15,3430
3453500,1/2/20 0:30,3430
3453500,1/2/20 0:45,3430
3453500,1/2/20 1:00,3430
3453500,1/2/20 1:15,3410
3453500,1/2/20 1:30,3410
3453500,1/2/20 1:45,3410
3453500,1/2/20 2:00,3410
3453500,1/2/20 2:15,3390
3453500,1/2/20 2:30,3390
3453500,1/2/20 2:45,3410
3453500,1/2/20 3:00,3390
3453500,1/2/20 3:15,3390
3453500,1/2/20 3:30,3370
3453500,1/2/20 3:45,3370
3453500,1/2/20 4:00,3350
3453500,1/2/20 4:15,3350
3453500,1/2/20 4:30,3350
3453500,1/2/20 4:45,3350
3453500,1/2/20 5:00,3350
3453500,1/2/20 5:15,3330
3453500,1/2/20 5:30,3350
3453500,1/2/20 5:45,3330
3453500,1/2/20 6:00,3330
